year,con,dpi,aaa
1945,1061.5,1383.099976,0.319999993
1946,1193.599976,1368.599976,-5.970000267
1947,1216.400024,1312.900024,-11.78999996
1948,1243.900024,1382.099976,-4.880000114
1949,1278.5,1393.300049,3.660000086
1950,1360.5,1521.900024,1.519999862
1951,1381.699951,1573.300049,-5.039999962
1952,1425.300049,1627.800049,0.660000026
1953,1493.300049,1706.900024,2.400000095
1954,1524.699951,1731.300049,2.600000143
1955,1637.300049,1846.5,3.359999895
1956,1685.099976,1934.800049,1.859999895
1957,1726.800049,1984.900024,0.589999974
1958,1741.699951,2005.900024,1.089999914
1959,1840.5,2092.100098,3.300000191
1960,1891,2146.899902,2.909999847
1961,1929.900024,2222.699951,3.25
1962,2025.400024,2328.899902,3.129999876
1963,2108.800049,2416.5,3.060000181
1964,2234.399902,2588.100098,3.100000143
1965,2376,2748.899902,2.889999866
1966,2510.600098,2895,2.130000114
1967,2585.600098,3020.600098,2.710000277
1968,2734,3157.399902,1.879999638
1969,2836.199951,3264.399902,1.53000021
1970,2903,3413.199951,2.239999771
1971,3013.800049,3570.399902,3.089999676
1972,3198.699951,3741.199951,3.910000086
1973,3357.199951,3968.600098,1.240000248
1974,3329.5,3923.600098,-2.529999971
1975,3405.100098,4020,-2.700000048
1976,3595,4144,2.730000496
1977,3746.5,4274.799805,1.520000458
1978,3911.199951,4470.5,1.129999638
1979,4004.100098,4557.799805,-1.670000076
1980,3991.5,4590.5,-1.56000042
1981,4050.800049,4705.600098,3.869999886
1982,4108.399902,4803.299805,7.690000057
1983,4342.600098,4971,8.840000153
1984,4571.600098,5314,8.409999847
1985,4811.899902,5476.200195,7.869999886
1986,5014,5687.799805,7.120000362
1987,5183.600098,5811,5.680000305
1988,5400.5,6083.899902,5.610000134
1989,5558.100098,6268.700195,4.460000038
1990,5672.600098,6393.5,3.919999599
1991,5685.600098,6438.399902,4.570000172
1992,5896.5,6714.200195,5.140000343
1993,6101.399902,6823.600098,4.21999979
1994,6338,7010.700195,5.360000134
1995,6527.600098,7245.799805,4.789999962
1996,6755.600098,7476.100098,4.46999979
1997,7009.899902,7751.299805,4.960000038
1998,7384.700195,8208.099609,4.930000305
1999,7775.899902,8477.700195,4.840000153
2000,8170.700195,8902.200195,4.21999979
2001,8382.599609,9148.700195,4.279999733
2002,8598.799805,9431.599609,4.889999866
2003,8867.599609,9690.099609,3.370000124
2004,9208.200195,10035.7002,2.930000067
2005,9531.799805,10189.40039,1.839999676
2006,9821.700195,10595.40039,2.390000105
